video_id,category,title,publishedAt,viewCount,likeCount,commentCount,durationMinutes,durationSeconds
xkycx0v_jE0,recommendation,"THESE 8 PERFUMES LAYER LIKE A DREAM, I have to tell you about these 🙌",2022-09-20T14:44:49Z,4799.0,198.0,19.0,8,1
6N0MAH7QLt4,recommendation,8 Gorgeous Perfumes That Will Make You STAND OUT,2022-09-11T11:30:04Z,7751.0,313.0,16.0,8,34
xW0H89-JLP8,review,PRADA PARADOXE Perfume Review,2022-09-09T13:09:11Z,29844.0,490.0,50.0,3,38
A4LecCzYEQ4,fashion,CHYPRE SANDALS HERMES REVIEW (After 6 Months),2022-09-04T10:00:09Z,2002.0,38.0,3.0,9,37
_djazZ_8QuU,review,SANTAL 33 Le Labo | Review,2022-09-01T14:05:48Z,51219.0,576.0,72.0,6,53
WOQNfqBsBO4,recommendation,7 PERFUMES THAT WILL *NEVER* GO OUT OF STYLE ( investment pieces),2022-08-27T11:30:16Z,5158.0,183.0,13.0,10,8
_r6WL8WHwhU,recommendation,7 MUST HAVE FALL NICHE PERFUMES,2022-08-20T11:45:03Z,7456.0,302.0,12.0,9,55
zMP8XYb9Mzk,recommendation,THE ONLY 5 PERFUMES YOU NEED,2022-08-13T11:15:03Z,13252.0,437.0,21.0,8,1
zSqLksr_nKA,recommendation,"8 Perfumes That Make Me Excited For FALL | Warm, cozy perfumes",2022-08-08T11:00:38Z,6712.0,304.0,17.0,13,12
pHzlMXLDvWQ,informative,YSL LIBRE EDT vs EDP vs INTENSE | WATCH BEFORE YOU BUY,2022-08-06T11:00:26Z,64954.0,923.0,69.0,8,1
OOvHMgRZQA0,recommendation,THE BEST 14 ZARA PERFUMES full stop,2022-08-01T17:08:53Z,58714.0,1079.0,53.0,18,36
SeecDy3MjpQ,recommendation,8 Most ICONIC PERFUMES Of All Time & their stories,2022-07-29T12:55:37Z,5229.0,228.0,28.0,13,23
FjZYsNHmQZ0,recommendation,7 Criminally Underrated Perfumes That are 5 ⭐,2022-07-23T11:32:11Z,4232.0,198.0,17.0,9,54
IYktvxxBaMo,recommendation,6 MOST UNIQUE Summer 🌞 Perfumes,2022-07-16T13:40:27Z,5911.0,209.0,15.0,10,49
8PXhVHuhrBI,recommendation,Top 10 MOST COMPLIMENTED PERFUMES According To TIKTOK,2022-07-12T12:47:56Z,20791.0,534.0,27.0,8,53
ceZxP_Ae8H8,recommendation,BYREDO Fragrances That Are Worth Your Money *Ranked By Me,2022-07-05T14:44:11Z,52396.0,885.0,70.0,12,15
paNioCLG-Dc,recommendation,7 PERFUMES that MEN GO CRAZY FOR,2022-07-03T12:00:24Z,119867.0,2180.0,100.0,8,1
0dKXgRk9lPE,informative,BDK Gris Charnel Extrait De Parfum VS Eau De Parfum | Watch Before You Buy,2022-07-01T11:40:30Z,30577.0,686.0,48.0,9,30
Xhcj8zMMhpg,review,man reacts to 20 MEN KILLER PERFUMES in 2 minutes!,2022-06-28T12:50:08Z,219506.0,4232.0,115.0,2,24
3-KxmPfr-zQ,recommendation,MOST WORN PERFUMES this year so far (these are the best),2022-06-22T10:48:41Z,3949.0,186.0,8.0,12,54
-hO-3vpH6bc,informative,ESCENTRIC MOLECULES Fragrance Line | BUYING GUIDE,2022-06-20T12:30:26Z,37596.0,1016.0,38.0,10,53
wdwqESYcFLY,review,Versace Dylan Blue For Her Review | Is it worth it in 2022?,2022-06-17T14:19:28Z,21939.0,316.0,22.0,7,39
b73qGHE9yFc,review,SOLEIL BLANC EAU DE PARFUM Tom Ford | is it worth the hype?,2022-06-14T12:32:54Z,40704.0,550.0,56.0,8,36
bDz8q45FDaw,fun,STORYTIME | How And Why I Ended Up With 2 Chanel White Classic Flap Bags,2022-06-04T12:00:19Z,8890.0,87.0,17.0,13,38
a6ONB2YUTg0,recommendation,The Best Dior Fragrances For Women,2022-06-02T12:49:33Z,29818.0,504.0,31.0,12,45
9UEU2yb76lY,review,"My Husband BLIND GUESSES PERFUME Prices | ARMANI, ZARA, ZADIG & VOLTAIRE",2022-05-30T13:23:10Z,7692.0,277.0,25.0,13,28
3cK61aHr3fo,recommendation,7 Things I Wish I Bought Much Sooner *buy them now,2022-05-28T11:15:00Z,3573.0,157.0,23.0,13,41
6vVVPYh_b_Y,recommendation,CONFIDENCE Boosting PERFUMES For Women *project confidence with these,2022-05-25T13:29:19Z,4320.0,199.0,24.0,12,28
bIVu3-M8wKE,informative,BDK Parfums | Fragrance Buing Guide,2022-05-19T11:30:13Z,37810.0,982.0,68.0,19,8
aqiIiatn5mA,recommendation,8 Fragrances I'll Be Wearing This Week | FRAGRANCE DIARIES,2022-05-16T13:30:02Z,1966.0,124.0,10.0,11,53
Fg_pPQ5YHmo,review,Oud Satin Mood Eau De Parfum vs Extrait  MFK fragrance review,2022-05-14T11:30:06Z,50130.0,766.0,121.0,10,57
3mKRgXva6Ts,fun,"VLOG | go to an event with me, fragrance haul, shopping for a new Balenciaga bag",2022-05-12T12:30:00Z,1739.0,85.0,15.0,17,15
ZAyvwpg-6ig,recommendation,7 Perfect EVERYDAY Fragrances For Women | super versatile,2022-05-09T11:30:07Z,6093.0,230.0,16.0,11,51
zDY71UFrItA,recommendation,6 Fragrances Social Media Made Me Buy | ANY REGRETS?,2022-05-07T11:00:29Z,2499.0,149.0,22.0,6,17
MHG2kqXbPtI,review,MON GUERLAIN Eau De Parfum Review,2022-05-05T13:12:46Z,12873.0,270.0,13.0,8,3
gidZRJFlxjU,fashion,Hermes Unboxing 🍊| new shoes,2022-05-03T13:19:03Z,1922.0,47.0,9.0,9,8
F_Vad2NyXr4,review,"My HUSBAND Rates My Favourite Perfumes | Creed, MFK, Mugler, Atelier Materi",2022-05-01T11:15:01Z,6010.0,263.0,20.0,16,47
hFzeIr3Y_2Q,fashion,CHANEL UNBOXING | can't believe I found it!,2022-04-29T13:06:51Z,2748.0,69.0,18.0,6,20
